Nome,Idade,Salario,Estado,Data_Admissao,Cargo
Carlos Oliveira,21.0,136850,Minas Gerais,17/10/2020,Cientista de Dados
Fernanda Rocha,50.0,64990,Rio de Janeiro,11/03/2023,Estagiário
Maria Souza,65.0,64830,Bahia,13/02/2018,Estagiário
Lucas Pereira,62.0,38420,Minas Gerais,29/11/2024,Analista
Juliana Santos,33.0,139070,Bahia,31/10/2024,Cientista de Dados
Maria Souza,39.0,129250,RJ,28/04/2019,Desenvolvedor
Camila Martins,43.0,53620,Rio de Janeiro,13/10/2023,Cientista de Dados
Ana Costa,23.0,104680,Bahia,10/08/2022,Técnico
Fernanda Rocha,43.0,79320,Rio de Janeiro,21/10/2022,Gerente
Fernanda Rocha,28.0,40910,Minas Gerais,13/11/2022,Cientista de Dados
João Silva,26.0,82640,Minas Gerais,18/09/2021,Cientista de Dados
Carlos Oliveira,25.0,86990,Paraná,23/07/2023,Desenvolvedor
  Lucas Pereira  ,64.0,139550,Minas Gerais,26/03/2019,Técnico
Ana Costa,57.0,42980,Bahia,18/10/2020,Técnico
Bruno Almeida,30.0,95640,São Paulo,03/11/2026,Cientista de Dados
Pedro Lima,32.0,37730,São Paulo,07/06/2018,Estagiário
Maria Souza,21.0,80310,Minas Gerais,06/09/2021,Desenvolvedor
Lucas Pereira,45.0,123490,São Paulo,27/03/2019,Gerente
João Silva,29.0,24690,São Paulo,29/05/2025,Analista
Bruno Almeida,29.0,59330,Paraná,01/10/2021,Gerente
Pedro Lima,39.0,77070,Minas Gerais,08/09/2024,Cientista de Dados
Maria Souza,24.0,39370,Santa Catarina,18/06/2018,Analista
Fernanda Rocha,24.0,30260,Bahia,05/11/2021,Desenvolvedor
João Silva,26.0,49400,Minas Gerais,24/12/2025,Desenvolvedor
  Juliana Santos  ,41.0,91470,São Paulo,05/10/2018,Estagiário
Fernanda Rocha,61.0,105230,Bahia,09/11/2019,Analista
Carlos Oliveira,31.0,48150,São Paulo,31/05/2024,Técnico
Lucas Pereira,63.0,136050,Bahia,27/05/2021,Gerente
Lucas Pereira,33.0,65810,São Paulo,30/08/2019,Cientista de Dados
Ana Costa,31.0,105580,São Paulo,10/04/2025,Analista
Ana Costa,64.0,63820,São Paulo,03/06/2018,Gerente
Bruno Almeida,59.0,60160,Santa Catarina,24/04/2020,Desenvolvedor
Bruno Almeida,27.0,91080,RJ,22/02/2026,Cientista de Dados
Pedro Lima,29.0,48940,Santa Catarina,07/03/2026,Estagiário
Bruno Almeida,61.0,117580,RJ,11/08/2019,Analista
Lucas Pereira,26.0,137070,São Paulo,13/02/2019,Desenvolvedor
João Silva,26.0,58680,São Paulo,08/08/2019,Gerente
Lucas Pereira,65.0,73440,São Paulo,25/07/2019,Técnico
Fernanda Rocha,27.0,57940,São Paulo,05/10/2025,Desenvolvedor
Bruno Almeida,61.0,135120,São Paulo,26/11/2019,Estagiário
Juliana Santos,25.0,77060,São Paulo,12/10/2024,Analista
Pedro Lima,60.0,130580,Rio de Janeiro,21/03/2021,Desenvolvedor
Carlos Oliveira,63.0,148850,São Paulo,09/01/2019,Analista
Fernanda Rocha,22.0,36540,Santa Catarina,24/02/2026,Estagiário
Juliana Santos,38.0,98970,Minas Gerais,11/10/2025,Estagiário
Ana Costa,42.0,86590,Bahia,16/01/2024,Estagiário
Bruno Almeida,51.0,112670,RJ,24/12/2018,Cientista de Dados
Fernanda Rocha,26.0,36040,São Paulo,18/01/2022,Gerente
  Bruno Almeida  ,33.0,52520,RJ,19/07/2019,Analista
Bruno Almeida,41.0,26860,São Paulo,10/07/2024,Cientista de Dados
Pedro Lima,23.0,58140,São Paulo,20/05/2024,Analista
Pedro Lima,50.0,44270,São Paulo,10/02/2022,Estagiário
Camila Martins,50.0,68140,RJ,05/10/2019,Estagiário
Ana Costa,43.0,119420,São Paulo,26/05/2022,Técnico
Fernanda Rocha,48.0,69310,Minas Gerais,07/11/2019,Estagiário
  Maria Souza  ,41.0,116820,Minas Gerais,08/09/2020,Analista
Carlos Oliveira,30.0,108380,RJ,13/05/2018,Cientista de Dados
Fernanda Rocha,20.0,25870,Minas Gerais,18/06/2021,Analista
Juliana Santos,43.0,136890,Minas Gerais,18/11/2025,Técnico
Pedro Lima,19.0,114200,Minas Gerais,29/07/2024,Estagiário
Maria Souza,58.0,133320,São Paulo,13/11/2019,Estagiário
Lucas Pereira,65.0,73440,São Paulo,25/07/2019,Técnico
Juliana Santos,35.0,148240,Minas Gerais,09/03/2022,Analista
Juliana Santos,27.0,66630,RJ,17/08/2025,Estagiário
João Silva,33.0,139330,São Paulo,03/12/2022,Estagiário
Pedro Lima,39.0,108850,RJ,13/03/2020,Técnico
Maria Souza,52.0,53070,Rio de Janeiro,14/07/2018,Gerente
Pedro Lima,24.0,53690,São Paulo,24/06/2020,Desenvolvedor
Pedro Lima,56.0,134130,São Paulo,08/04/2024,Gerente
Pedro Lima,52.0,66130,Minas Gerais,24/11/2018,Analista
Fernanda Rocha,26.0,36040,São Paulo,18/01/2022,Gerente
Fernanda Rocha,29.0,97990,Santa Catarina,09/04/2024,Analista
  Carlos Oliveira  ,33.0,100120,Rio de Janeiro,07/01/2025,Analista
Pedro Lima,31.0,41440,Rio de Janeiro,19/01/2023,Desenvolvedor
Pedro Lima,24.0,116100,São Paulo,14/08/2021,Desenvolvedor
Camila Martins,32.0,55830,São Paulo,22/11/2018,Gerente
Maria Souza,21.0,80310,Minas Gerais,06/09/2021,Desenvolvedor
Carlos Oliveira,49.0,132060,São Paulo,05/07/2019,Técnico
Carlos Oliveira,52.0,147980,Santa Catarina,14/10/2025,Gerente
Lucas Pereira,42.0,86520,Santa Catarina,12/06/2024,Técnico
Juliana Santos,28.0,21220,Bahia,03/06/2018,Gerente
Camila Martins,29.0,114950,São Paulo,04/01/2023,Cientista de Dados
Camila Martins,26.0,52630,São Paulo,04/03/2021,Cientista de Dados
Ana Costa,56.0,112750,São Paulo,24/04/2019,Analista
Fernanda Rocha,35.0,47730,Santa Catarina,13/02/2025,Estagiário
